,league,date,home_team,away_team,home_score,away_score,season,home_latitude,home_longitude,away_latitude,away_longitude,distance_km,prev_match_date,days_rest
994,Premier League,2014-09-13,Arsenal,Manchester City,2.0,2.0,2014,51.555,-0.1086,53.4831,-2.2004,256.87433356770003,2014-09-13,-
1786,Premier League,2014-09-27,Arsenal,Tottenham,1.0,1.0,2014,51.555,-0.1086,51.6043,-0.0665,6.205974033389664,2014-09-27,14.0
1206,Premier League,2014-11-22,Arsenal,Manchester United,1.0,2.0,2014,51.555,-0.1086,53.4631,-2.2913,258.50247536948467,2014-11-22,56.0
1772,Premier League,2014-12-13,Arsenal,Newcastle United,4.0,1.0,2014,51.555,-0.1086,54.9756,-1.6216,393.4138576299243,2014-12-13,21.0
619,Premier League,2015-01-02,Arsenal,Aston Villa,5.0,0.0,2014,51.555,-0.1086,52.5092,-1.884,161.2636936374583,2015-01-02,20.0
300,Premier League,2015-03-14,Arsenal,West Ham,3.0,0.0,2014,51.555,-0.1086,51.5386,-0.0174,6.564789304479326,2015-03-14,71.0
1011,Premier League,2015-04-04,Arsenal,Liverpool,4.0,1.0,2014,51.555,-0.1086,53.4308,-2.9608,284.1968411874968,2015-04-04,21.0
1040,Premier League,2015-04-10,Arsenal,Manchester United,3.0,0.0,2015,51.555,-0.1086,53.4631,-2.2913,258.50247536948467,2015-04-10,6.0
1100,Premier League,2015-04-26,Arsenal,Chelsea,0.0,0.0,2014,51.555,-0.1086,51.4816,-0.191,9.955916441909952,2015-04-26,16.0
1085,Premier League,2015-08-11,Arsenal,Tottenham,1.0,1.0,2015,51.555,-0.1086,51.6043,-0.0665,6.205974033389664,2015-08-11,107.0
1065,Premier League,2015-08-24,Arsenal,Liverpool,0.0,0.0,2015,51.555,-0.1086,53.4308,-2.9608,284.1968411874968,2015-08-24,13.0
1779,Premier League,2015-09-08,Arsenal,West Ham,0.0,2.0,2015,51.555,-0.1086,51.5386,-0.0174,6.564789304479326,2015-09-08,15.0
562,Premier League,2015-10-02,Arsenal,Leicester,2.0,1.0,2014,51.555,-0.1086,52.6203,-1.1422,137.90598281893227,2015-10-02,24.0
1832,Premier League,2015-12-21,Arsenal,Manchester City,2.0,1.0,2015,51.555,-0.1086,53.4831,-2.2004,256.87433356770003,2015-12-21,80.0
944,Premier League,2016-01-24,Arsenal,Chelsea,0.0,1.0,2015,51.555,-0.1086,51.4816,-0.191,9.955916441909952,2016-01-24,34.0
98,Premier League,2016-02-01,Arsenal,Newcastle United,1.0,0.0,2015,51.555,-0.1086,54.9756,-1.6216,393.4138576299243,2016-02-01,8.0
1561,Premier League,2016-02-14,Arsenal,Leicester,2.0,1.0,2015,51.555,-0.1086,52.6203,-1.1422,137.90598281893227,2016-02-14,13.0
612,Premier League,2016-05-15,Arsenal,Aston Villa,4.0,0.0,2015,51.555,-0.1086,52.5092,-1.884,161.2636936374583,2016-05-15,91.0
751,Premier League,2016-06-11,Arsenal,Tottenham,1.0,1.0,2016,51.555,-0.1086,51.6043,-0.0665,6.205974033389664,2016-06-11,27.0
1464,Premier League,2016-08-14,Arsenal,Liverpool,3.0,4.0,2016,51.555,-0.1086,53.4308,-2.9608,284.1968411874968,2016-08-14,64.0
22,Premier League,2016-09-24,Arsenal,Chelsea,3.0,0.0,2016,51.555,-0.1086,51.4816,-0.191,9.955916441909952,2016-09-24,41.0
1120,Premier League,2017-02-04,Arsenal,Manchester City,2.0,2.0,2016,51.555,-0.1086,53.4831,-2.2004,256.87433356770003,2017-02-04,133.0
1558,Premier League,2017-02-12,Arsenal,Manchester United,1.0,3.0,2017,51.555,-0.1086,53.4631,-2.2913,258.50247536948467,2017-02-12,8.0
933,Premier League,2017-04-26,Arsenal,Leicester,1.0,0.0,2016,51.555,-0.1086,52.6203,-1.1422,137.90598281893227,2017-04-26,73.0
858,Premier League,2017-05-04,Arsenal,West Ham,3.0,0.0,2016,51.555,-0.1086,51.5386,-0.0174,6.564789304479326,2017-05-04,8.0
86,Premier League,2017-07-05,Arsenal,Manchester United,2.0,0.0,2016,51.555,-0.1086,53.4631,-2.2913,258.50247536948467,2017-07-05,62.0
555,Premier League,2017-11-08,Arsenal,Leicester,4.0,3.0,2017,51.555,-0.1086,52.6203,-1.1422,137.90598281893227,2017-11-08,126.0
995,Premier League,2017-11-18,Arsenal,Tottenham,2.0,0.0,2017,51.555,-0.1086,51.6043,-0.0665,6.205974033389664,2017-11-18,10.0
1754,Premier League,2017-12-16,Arsenal,Newcastle United,1.0,0.0,2017,51.555,-0.1086,54.9756,-1.6216,393.4138576299243,2017-12-16,28.0
369,Premier League,2017-12-22,Arsenal,Liverpool,3.0,3.0,2017,51.555,-0.1086,53.4308,-2.9608,284.1968411874968,2017-12-22,6.0
1719,Premier League,2018-01-03,Arsenal,Manchester City,0.0,3.0,2017,51.555,-0.1086,53.4831,-2.2004,256.87433356770003,2018-01-03,12.0
998,Premier League,2018-02-12,Arsenal,Tottenham,4.0,2.0,2018,51.555,-0.1086,51.6043,-0.0665,6.205974033389664,2018-02-12,40.0
1821,Premier League,2018-03-01,Arsenal,Chelsea,2.0,2.0,2017,51.555,-0.1086,51.4816,-0.191,9.955916441909952,2018-03-01,17.0
209,Premier League,2018-03-11,Arsenal,Liverpool,1.0,1.0,2018,51.555,-0.1086,53.4308,-2.9608,284.1968411874968,2018-03-11,10.0
148,Premier League,2018-04-22,Arsenal,West Ham,4.0,1.0,2017,51.555,-0.1086,51.5386,-0.0174,6.564789304479326,2018-04-22,42.0
1405,Premier League,2018-08-25,Arsenal,West Ham,3.0,1.0,2018,51.555,-0.1086,51.5386,-0.0174,6.564789304479326,2018-08-25,125.0
830,Premier League,2018-10-22,Arsenal,Leicester,3.0,1.0,2018,51.555,-0.1086,52.6203,-1.1422,137.90598281893227,2018-10-22,58.0
458,Premier League,2018-12-08,Arsenal,Manchester City,0.0,2.0,2018,51.555,-0.1086,53.4831,-2.2004,256.87433356770003,2018-12-08,47.0
143,Premier League,2019-01-04,Arsenal,Newcastle United,2.0,0.0,2018,51.555,-0.1086,54.9756,-1.6216,393.4138576299243,2019-01-04,27.0
1080,Premier League,2019-01-09,Arsenal,Tottenham,2.0,2.0,2019,51.555,-0.1086,51.6043,-0.0665,6.205974033389664,2019-01-09,5.0
39,Premier League,2019-01-19,Arsenal,Chelsea,2.0,0.0,2018,51.555,-0.1086,51.4816,-0.191,9.955916441909952,2019-01-19,10.0
